id,polid,firstname,lastname,start_d,end_d,party_affiliation,state,legislative_body,gender,district
1,B000944,Sherrod,Brown,1993-01-05,1995-01-03,Democrat,OH,rep,M,13
2,B000944,Sherrod,Brown,1995-01-04,1997-01-03,Democrat,OH,rep,M,13
3,B000944,Sherrod,Brown,1997-01-07,1999-01-03,Democrat,OH,rep,M,13
4,B000944,Sherrod,Brown,1999-01-06,2001-01-03,Democrat,OH,rep,M,13
5,B000944,Sherrod,Brown,2001-01-03,2003-01-03,Democrat,OH,rep,M,13
6,B000944,Sherrod,Brown,2003-01-07,2005-01-03,Democrat,OH,rep,M,13
7,B000944,Sherrod,Brown,2005-01-04,2007-01-03,Democrat,OH,rep,M,13
8,B000944,Sherrod,Brown,2007-01-04,2013-01-03,Democrat,OH,sen,M,None
9,B000944,Sherrod,Brown,2013-01-03,2019-01-03,Democrat,OH,sen,M,None
10,B000944,Sherrod,Brown,2019-01-03,2025-01-03,Democrat,OH,sen,M,None
11,C000127,Maria,Cantwell,1993-01-05,1995-01-03,Democrat,WA,rep,F,1
12,C000127,Maria,Cantwell,2001-01-03,2007-01-03,Democrat,WA,sen,F,None
13,C000127,Maria,Cantwell,2007-01-04,2013-01-03,Democrat,WA,sen,F,None
14,C000127,Maria,Cantwell,2013-01-03,2019-01-03,Democrat,WA,sen,F,None
15,C000127,Maria,Cantwell,2019-01-03,2025-01-03,Democrat,WA,sen,F,None
16,C000141,Benjamin,Cardin,1987-01-06,1989-01-03,Democrat,MD,rep,M,3
17,C000141,Benjamin,Cardin,1989-01-03,1991-01-03,Democrat,MD,rep,M,3
18,C000141,Benjamin,Cardin,1991-01-03,1993-01-03,Democrat,MD,rep,M,3
19,C000141,Benjamin,Cardin,1993-01-05,1995-01-03,Democrat,MD,rep,M,3
20,C000141,Benjamin,Cardin,1995-01-04,1997-01-03,Democrat,MD,rep,M,3
21,C000141,Benjamin,Cardin,1997-01-07,1999-01-03,Democrat,MD,rep,M,3
22,C000141,Benjamin,Cardin,1999-01-06,2001-01-03,Democrat,MD,rep,M,3
23,C000141,Benjamin,Cardin,2001-01-03,2003-01-03,Democrat,MD,rep,M,3
24,C000141,Benjamin,Cardin,2003-01-07,2005-01-03,Democrat,MD,rep,M,3
25,C000141,Benjamin,Cardin,2005-01-04,2007-01-03,Democrat,MD,rep,M,3
26,C000141,Benjamin,Cardin,2007-01-04,2013-01-03,Democrat,MD,sen,M,None
